country,year,energy_type,production_(gwh),installed_capacity_(mw),investments_(usd),population,gdp,energy_consumption,co2_emissions,renewable_energy_jobs,average_annual_temperature,annual_rainfall,solar_irradiance,wind_speed,hydro_potential,geothermal_potential,biomass_availability,energy_storage_capacity,electricity_prices,urbanization_rate,industrialization_rate,proportion_of_energy_from_renewables
Japan,2003,Solar,37917.34062157452,25327.81971898601,2183215453.544724,764933521,25956213176778.625,783683.4256702394,355712.55062126,925420,34.28723344769791,1313.7280211937648,288.8518488148083,11.258748573059377,68.48155378368756,3.9717830876573545,62.46540616227435,790.7222918195099,0.4531386145108724,8.677658365051144,31.58129246864637,1.491285873973136
Brazil,2004,Geothermal,92392.05433173166,1451.9577371630985,2450100983.4448447,431084272,95894745626916.3,228345.0277108908,815109.1193160713,460132,-5.527712554228766,2629.1575092239223,271.64329604834404,12.132348608158908,60.97014250439273,1.983837849199588,21.64028289592662,460.7773930369144,0.4385193088424445,65.1432041467186,54.11067194746517,63.09970555366543
China,2019,Solar,78755.09374601669,36288.85624888997,5635218481.542556,979747287,132604064329803.52,361977.027721083,858104.3244757986,942579,13.226426034665456,1177.943036209056,254.08170227100183,1.1803239567668555,73.5530166078333,26.88870198622813,94.12568835742864,164.28071771762222,0.1528106374332521,12.838812328242868,46.833573737614245,54.5177334941829
Japan,2003,Wind,9627.661808711597,49361.19183575194,7899902428.733262,1044627974,77279054375694.83,276418.26443432254,968724.0603594754,137272,-1.06367929051647,2687.442988632658,112.34994814776871,1.506654988548839,13.99922671193391,57.21303720787414,45.16770331023076,12.19755718928532,0.172987389820627,5.487439289628382,41.69066791023794,50.20500585182324
India,2010,Wind,91946.61490188426,46526.03501721793,2979264242.914747,819890449,124421138033199.5,883549.1209687594,437529.790018632,103788,27.442775204920167,2333.324780847704,299.5108871191929,3.6711892087386255,6.14624127255512,38.11885750617216,49.035851417240494,863.9573757965652,0.280651939392013,3.1474368993249846,34.032653915742884,8.312129671790846
Canada,2014,Geothermal,80750.68343690365,39027.344554144256,9925332814.52207,116459754,28471436841164.016,350075.8843441977,374325.0995542959,824313,36.213421769155886,860.5226541203706,212.54361994878144,9.170181960289824,54.97492327555496,61.80992133459896,57.28778535491852,795.0680471828613,0.0884177401410233,52.62470240380311,11.951580603020162,42.124015432038064
Canada,2013,Biomass,98397.81492178058,16191.48609476514,1783535397.9470942,1205275849,196438924682760.25,7977.214012582198,111308.65351066498,970573,10.912051091467632,2074.369679554795,173.90135049504153,4.879056067691305,18.3906820385465,23.10650132750317,52.33051765404482,640.0559584608727,0.465464873153448,21.12239672060153,1.7637552521024835,71.15674008048582
Canada,2007,Solar,20322.54443780233,10828.341221348928,4639469254.155021,1040200869,151359990494526.8,988690.2203134638,112176.25792479672,230374,27.2321220362318,2847.2370035504964,243.5188433225809,4.453305486378396,6.235081896014227,77.2229132399157,0.8177925872476011,885.0460783605554,0.1772396423506996,58.86613455321071,18.907276742091472,30.24807579489548
Russia,2013,Solar,7323.636887704843,5827.46110865491,1731276894.148703,255134878,168115101190195.94,295626.6886339421,215858.4587083361,855186,8.262476100405344,117.15582891026176,280.29312179366343,2.654530532548505,64.94450478671914,83.05031920194149,69.38685507174723,5.27762936146551,0.1577594310693405,97.81709196089952,92.16333340522684,29.85801196982656
India,2004,Wind,6542.685310757911,28501.28710172168,9180527158.192877,531406015,68718655963285.3,278368.4633717547,758468.8908525611,454865,-6.368974540331004,2078.0353994668394,182.64878289828937,12.475753620555206,63.329486492372745,60.59307292626588,20.538019016647723,481.9929248820221,0.1263119027429963,4.771827800312323,18.223692927215595,36.41965421702236
Germany,2019,Geothermal,17502.139799368604,26502.994248889798,408490766.705338,189017849,27460634720824.824,32557.915405145464,170377.05135220132,258425,17.106886912599343,2670.289879994529,202.00918118950665,13.294220676151852,35.71027061685188,53.39283505593314,96.65212471898406,499.4799411927454,0.3657602640130078,79.27801576143091,26.520089403411752,67.21384141491981
Japan,2023,Hydro,14777.088878993907,28986.542237355272,1316801464.8955505,898948417,112776458569605.58,240448.8719865385,991128.8350933084,599552,6.013800952481976,2052.46723275109,221.82863391030085,3.4509943918592745,50.11860133032611,66.7154747422506,64.39067132510633,277.71259525148463,0.068965045056087,57.72975882539381,50.2921888762895,2.3767007502126125
France,2019,Solar,28474.759339284865,24303.23089940028,21020901.658146262,620172080,20213241819675.21,495218.3524693704,547101.922244398,991941,13.788417587359284,729.4356833501922,296.37087373387016,10.19779148601614,44.23059607205793,72.7133977936275,60.447249695544734,903.5054969015804,0.4457346420720842,25.360239200412515,28.318687428924648,69.04194554083456
Germany,2002,Wind,3515.8485498481546,26439.043239975945,5976202996.917048,1141999257,185300334322771.28,643774.8059454645,328861.0606664828,556509,5.834415069436126,128.63962905656965,226.4767285164536,2.0809257972760604,88.35281125845626,61.32735789547279,53.07132116449409,922.4013731751808,0.4546188276483685,18.95078871636941,72.1990900457574,81.90956717676701
France,2008,Biomass,1072.7124694327,7822.08165111455,8371581376.8001795,934790960,165523677074542.9,931958.518089281,676454.4529022592,921555,8.619295371142634,2825.866891851391,255.79315471115703,8.909255188814246,48.029109373991766,70.84810854469534,41.17856726201945,376.9631483162311,0.4765000461711715,58.92282377004982,80.78293712734458,0.0338289775993927
France,2014,Solar,43969.67652534624,15713.420563067046,6996068074.199007,197990713,65820663555887.805,671660.5537326628,114813.20047264337,587650,9.65013817672639,2153.136915745302,209.6925849779116,11.470673200807092,64.61539605482766,38.8048268834624,22.99341401859396,650.6890676276955,0.2056520464394702,27.61454491985168,2.2412695436212937,71.87563350717893
Brazil,2010,Solar,39491.78695895466,14223.860946024794,1472171372.2569776,636023248,9004019196367.979,290910.88831251144,369447.5624764189,884874,33.18611329498673,1648.335502118631,243.30283183035303,7.124636370795834,82.89625581048385,6.150711246876384,72.30371740399467,300.65585974651856,0.442199431427962,61.74910053969683,89.66088628726786,32.26960956550781
Germany,2007,Wind,35102.80524775364,17363.985906788243,5124903676.065121,810530992,117271182560054.6,445969.3022736861,965260.3145619136,896954,26.768498790941138,349.15668413939176,256.63870114989044,6.99799317883873,48.36598429482331,73.66408179108605,90.63334500201118,213.27138839803789,0.4916142584926506,16.90315743082116,7.38922125579724,39.09763406884781
India,2021,Wind,75015.10932555415,21087.563715528097,4916894561.795905,613191835,57095133998912.33,85751.93626589805,256029.47464676984,851675,33.88781372111146,2380.9235970345712,174.88922869516267,5.628846559272215,92.59861204167396,85.24585614741824,32.032930214450175,697.4560800957285,0.1942315166620202,56.28400541970901,27.197834989363,39.99653705684759
USA,2005,Wind,55487.02241406713,13187.616682209558,4972807916.14054,710170825,116071903764484.14,985035.7101029604,684123.8410588611,521931,-6.598321094923989,2959.5951354667664,148.37196523390764,4.897013503984401,23.796845176249317,32.61357213925828,46.94724998212171,409.9955701155656,0.3232470705370681,77.02205603736662,23.93423223363126,57.05751355493848
France,2010,Geothermal,62387.57054961306,21564.61795344399,7535222387.453657,1337802427,7257163665062.447,67563.88537953979,217082.03355198228,529241,3.544050211913937,1367.1796287918194,223.57304147663413,10.966501595241128,44.53510640714723,52.09675647029564,10.99862732522583,765.8771688835725,0.4128567103570536,2.536697328376636,18.609296422900638,32.258382800335426
Russia,2020,Hydro,54157.627071831324,412.7012683208605,6394575200.992687,188910945,115366382929304.56,140334.6542407256,912903.2483564318,220529,-9.348936222046486,1919.2294561683327,156.65835232696853,1.3211159210863594,63.30020629389814,39.30798245349523,77.08179971990933,289.98483949920046,0.4615449525061122,12.46008548384011,57.63482526629309,58.91579108496183
Russia,2010,Biomass,3204.9795228946746,24196.751583573023,5061422754.425084,1075716108,94549790212522.16,723871.3862377872,932965.6165446627,303989,24.4391898026624,1664.1516884971518,177.3843139904382,7.692859033096072,78.98410590758968,72.70054349549481,31.421886219229744,85.26190869409986,0.2125306163108925,30.548450686338136,0.6234726472262975,84.59438633146836
Japan,2022,Hydro,47146.18836467232,29106.288174617846,8045717983.016642,762402801,145905615255410.1,894909.7572225529,19800.92099804256,567964,31.06919676855368,1436.4813598535604,154.400601748157,5.516974980013153,56.548447499818266,3.4249758895039677,86.3680961012313,743.5547311869823,0.150579532560558,94.52329464626932,35.662866345519184,15.21276419774784
France,2001,Geothermal,84294.04135732545,26925.033551693206,3776283773.6297455,183874120,185504305354500.62,369685.2646592933,29061.626622376218,249779,6.954458923718118,1044.5690003944146,106.6949044253791,3.130344168323787,9.545177716007302,86.64023657272074,68.82829173679983,604.4695303629084,0.1814718450860097,28.024721374896643,37.597329194191374,45.270338965097054
Germany,2003,Solar,73627.87665735083,41479.83227269577,1217189974.1986134,842131261,52052270161228.3,15915.901796740192,366829.61333584064,268866,17.09029842971251,1927.178219425336,198.40584802586693,1.3501903539711453,85.68868635922304,46.08403980599832,28.399269439663957,665.609986690283,0.3874236972392849,11.82213443461244,92.94067499690505,87.4014271262875
Germany,2017,Biomass,55637.020611976026,28651.92192402384,4673581580.721636,481418144,125005074975803.7,638360.5636590887,794512.4153358524,956625,9.943724666647604,1566.4768134279052,147.78866638207208,2.0489963972954146,33.49831997115581,67.38465022370043,22.435400959161058,235.8125129999078,0.2055560049861876,34.202220402888294,88.68542105020587,65.28051883475808
USA,2006,Hydro,21195.90663553076,34520.49061048021,9333387382.684246,51710882,28026257176031.047,82210.08253600866,379652.244525035,615749,4.517432674085434,408.74577805683145,130.88384249616726,6.629392977448793,89.85033343644223,18.08442976369817,88.00549330052615,435.7041406394903,0.0612834484893356,49.24209482445805,16.40799776709011,3.682493835359435
Australia,2009,Solar,40218.01119617886,42993.53094636307,338009756.2015766,282116949,74232349106128.53,267479.71392247925,695121.1326549612,526963,1.425296408116143,1881.0882121663897,248.0096390292271,10.350276074802087,54.49059969296759,35.23064314517741,77.92932257012129,773.8561474995986,0.2667629399922143,92.38249163383914,32.14880963588469,92.97194444006932
France,2005,Geothermal,86174.00681575364,40042.60570550374,3765310091.857252,1002285207,186710165062288.25,36342.77954826877,492200.96711456607,679953,15.740655347047962,1912.259106265777,171.61854634130364,4.833348415334008,88.8858323958442,82.11972005308982,82.14962500617645,372.83258520754737,0.3013596895777755,52.97432269405476,71.46943193083075,12.006453311509802
Russia,2009,Wind,19652.018537899625,4580.207604337447,5799602396.725469,1480116352,22523991297832.637,473519.2944252832,345594.6835902192,618069,3.019921513428878,1862.9779728246071,241.22304756054356,9.43282581719874,94.7944943434092,83.36822301848845,87.97507572679504,165.2620006875752,0.2777064358370862,66.35666745898727,79.89909850127313,25.502667115997323
Brazil,2017,Geothermal,13680.987987272649,1494.7803385165096,8076873410.646396,1097252814,79774693747668.47,669437.3585889977,353261.7896608931,479946,23.67621838211035,573.9095075140193,174.17093545824247,4.723621948326913,96.61449256017478,49.50293624087049,61.57076611427754,533.9791074243883,0.3322940978611781,5.101079142179055,16.545942646161983,29.642539062666973
Russia,2002,Solar,92232.75985554076,13825.923062718304,483774920.4087518,956822416,160151218324972.66,557054.7409273331,644875.8226291124,172535,-1.5277694339621863,1207.7783993760856,238.45158424445407,13.64232153878679,16.107809066940337,98.2971462568446,50.28989858786604,199.06193849165493,0.4063077095430827,92.84313246730062,90.82683509946622,18.065661042849467
Brazil,2007,Geothermal,75518.8857941678,44242.36803170851,8424385584.185817,850214259,5663294467513.284,568401.3362696713,561938.1893563309,921467,-7.155650130387139,330.2516484328345,230.10265209743005,13.608094010196632,44.12814394230104,60.21238753785263,20.74871949738508,244.3423982115552,0.360433221841762,68.34420494148821,76.01057630741252,91.7802503167923
Japan,2022,Biomass,63005.16926737934,25563.84135643947,9104672097.21293,1347133105,52413571945171.77,871439.1167925287,273959.5205357629,117482,-2.590770948570205,1893.6115484289144,137.348124066391,13.685678419593588,83.40737814299122,69.19251637143954,60.69602522694938,678.5057086870573,0.2049490077376173,65.46054923723042,67.42005422420338,1.6319997316445178
Japan,2007,Geothermal,52535.543926923405,821.3431093243773,147464154.74199077,645225740,95175421773672.31,95573.25546966502,325673.5629039433,161858,0.5891333549399675,1858.843731833531,102.83376843863724,11.115337119704073,0.1860676146988371,43.3687927256824,67.00897131936054,525.1373574748173,0.1729653899766092,92.9496598475594,2.0776828850355367,23.165326150045928
Germany,2022,Biomass,3639.198578124327,10897.746616692692,1399573622.7889512,305996686,80904991214250.6,280783.7694240217,254640.86883800896,542398,-2.9408407842112707,829.1779130694316,204.41620925364936,11.753536401326048,60.14832022654974,79.90590369108406,69.19433692872634,416.7196425843078,0.0678869377659663,82.62144194908937,14.944350713845134,1.3078880455755448
France,2021,Solar,15874.368789400996,37065.21953008008,9695986802.76142,141868711,29920189107192.05,362843.46335623495,495040.0169537518,49980,2.2428993582466568,182.0224961580567,117.83057688591776,11.70098767352246,77.90546725151569,80.88151329771729,55.432665075640855,414.76623085856414,0.2012649340992354,32.646623297515085,80.49488001445498,91.19784420292036
Brazil,2012,Wind,49778.16380007741,15586.838645830916,1196236036.3137758,11950560,82747666345872.62,156485.61020927707,993987.8141283932,947071,6.102540220476989,2976.1982476363864,262.0566829565207,3.5841141522009936,94.32451676669024,90.80286867115028,2.1137945441497497,760.0309378322723,0.0681017056426325,32.33167729555859,81.50297644238378,17.035581058180995
France,2018,Hydro,25983.442235447103,35714.77882444936,2627041959.928827,980235263,146139759750265.03,745572.7830256489,891317.2293347723,352081,14.43229146201535,1827.684153827908,262.5235842767684,13.96557935511844,84.61954569759995,62.41048849584915,73.52916933525317,94.47971733812612,0.407260210227811,23.325024211846312,4.619720321726217,37.01939295918654
USA,2014,Wind,10964.76878969858,18139.55911672038,1066270663.4283148,1292204876,18467518414409.293,267626.7806855937,988439.475269916,104091,15.7341415061352,361.1325401408033,257.0263785996817,4.537370543476116,8.619588657938005,25.70377260405696,10.374564828557077,463.9979814338258,0.265601067058801,17.353875370252503,98.14867143055358,44.76564435818674
Russia,2009,Wind,39181.96381513726,12590.366582428363,4905855151.78947,1469192168,156269968480796.5,57761.60173015528,433430.6477504753,363396,29.254094522113803,1300.394140914975,151.84402554555646,8.209483318967376,16.865309829600193,59.46173884998807,74.76308860040986,722.3954551974952,0.4659801534950132,17.382907941173265,6.842859403365598,91.51910599159952
France,2003,Biomass,99181.00135890968,14391.285851062034,1322930047.9457445,846176320,168317901690900.88,36329.82350090445,313250.75277627184,448306,32.09421898181056,2151.005181979825,256.2241573812821,3.1600028473349244,88.64797953974748,11.265470968201464,7.967033787908939,920.3662641980808,0.1606707147813465,30.24596297558069,30.0655611744842,99.83273040018206
Australia,2011,Hydro,73276.90216116593,4324.060640304679,1638287453.5297935,284768221,129303414082435.52,972971.5007573236,867504.0120679584,312699,13.087054053245392,2072.7624357028662,206.55508547187225,10.137426733906931,11.452128344391545,65.23571089830294,96.0442788935444,636.2140684454462,0.0712045120635569,47.637895521743104,82.49919447091646,13.26473864992115
Australia,2014,Hydro,11187.96724665651,34968.1640736415,1187775824.0099456,440312197,79570981653944.98,347820.33273496263,754759.8665177154,690794,-9.819320510075798,1697.661294085398,108.09549253468602,7.379262494661029,16.218194209511736,86.49562875410749,19.961321297436275,26.270315496727346,0.4183507099232379,33.012828477636134,22.758114902362937,94.98960475441795
USA,2016,Hydro,71690.95500492679,45631.25891619495,6479176301.126434,643635950,6848907178322.829,564800.0753618854,310901.429799945,450978,35.475580419637595,2135.3093857108943,135.11567483176174,6.0278802058866985,38.330258413719406,89.07664567034179,22.922699700905337,960.6044677751506,0.1855048100612737,56.69279896083195,74.57595017846332,27.35466138365084
India,2015,Wind,86555.5519220325,19311.890412761288,9208688755.757612,1280046658,39326893668632.54,254296.0903848903,340001.6626945092,958575,14.755031636286066,1695.6228724771431,206.88380706726787,11.091212640252795,58.902528117303376,82.29869620621719,0.3755471840435231,509.445182456069,0.3266659672522616,9.958011636985042,23.74512723423153,10.240937681647234
France,2004,Hydro,80487.30193926474,33914.56970945371,9160522706.624157,311500435,83581702980206.31,268929.8770046749,28332.65575556251,991790,-9.725976004954846,1411.5576228476211,288.6457991237553,1.7969380451514203,34.51188493194458,39.00001936908573,67.51067884699341,195.09705473765115,0.3106880843310086,50.94995063083143,44.34368365671519,42.24137911233456
Australia,2020,Biomass,64826.37820916435,46372.79940708842,413571722.79273945,1385620520,175970049499734.84,130053.63324100888,978615.5018128138,742292,8.442044596401448,2443.990417246784,166.94214339051638,0.9697245721402936,29.302032861505456,18.19215974019696,92.19139116057646,421.4589446768575,0.4684145134919789,54.6746010577933,7.882507369927405,5.064571696383657
China,2007,Biomass,63615.01975905911,6212.681245791455,5418016851.288552,692277040,196724017431570.1,139758.75737333967,422558.2145647214,834135,-8.98796569408077,2890.6321767208774,247.6897364451765,2.9201598476704134,4.575296376733384,35.56584281441909,28.790608991994105,757.6324728922283,0.050983090802114,25.59604974878764,3.036567051878758,82.31363253866192
France,2022,Geothermal,99171.1537199418,16288.04175502365,5602457175.335103,1143305886,73502535703740.62,205209.3875542531,736994.0863656324,735536,-2.020139708212689,1916.7193831503707,269.93459781608146,11.595083014385036,84.2651665795729,22.38833481889896,47.8471825739267,37.77664439902551,0.1447973630605168,12.080885572908064,57.41296049389738,80.02572623027542
Germany,2009,Hydro,92906.97859807416,41626.23335242157,3400169255.8055177,1368116962,84888993305674.03,840740.1418789774,737838.7304072028,673544,2.542406831642678,2654.4349284891987,221.2633414751694,1.8161202255638345,49.548652857364615,64.43422773065997,17.4654305197558,487.7400896565355,0.4974652759327825,41.1531608773158,71.18755648150167,40.31924619289013
India,2013,Hydro,5966.455418039445,5377.633337672783,1191721855.095749,577736923,184836179897778.7,336166.32240727945,270049.5048156816,313190,2.6398168979952654,2871.2043221391145,156.49366960628373,12.873597314382744,27.53865494713027,21.288438134401044,20.495828303940165,356.7966952085316,0.1559422286718622,67.62152734584062,14.454101237123718,68.50689545492085
Russia,2012,Biomass,1789.2223242426649,22375.50501569952,3756252042.707596,1117734468,81867691216621.83,378391.4143246532,718195.1362349547,705459,31.34443224341109,2231.331526339133,133.60941629253207,7.848683362930554,1.713765159340952,3.9152442683753055,23.44238863262189,524.644525002918,0.3998714152132949,85.39825595171122,45.01040695940885,5.995696856901511
Germany,2009,Wind,83761.87844780517,1229.637303775069,365455333.0475095,243157026,71645481937488.23,685141.8077428994,511305.3694808794,836389,22.1561656104291,2115.955899149032,171.81836406693952,4.23626304177314,46.49024234194359,29.378302009520983,54.51315503584853,546.0386541420606,0.1734729432665441,41.626547194284136,79.68599460400335,87.5245429731375
Brazil,2001,Wind,56404.930033996,19590.357430833064,6949496692.5526495,388558675,9539149691566.717,669759.0500153877,538398.6661820333,185446,8.927845200244192,2993.3928649225286,258.1643595488763,7.772396377773454,74.18014028431283,54.05591844999245,45.072767921981225,113.77048774269316,0.0595960931867374,71.77187970716726,12.742571323110695,35.001858627953254
India,2017,Hydro,55128.58767041516,45709.329538681726,2920578934.0471587,815669253,116069982013839.7,485639.4090774237,19266.65484449808,511557,4.139740460282081,436.7857872735536,180.8626868439176,9.588822173898263,38.51240456008122,55.40819452094935,1.52409709463599,825.279298647142,0.314250731259278,80.4049007314137,66.90612800653865,90.7949273267406
India,2008,Solar,86177.44391573302,34735.344032600726,3874827344.358037,1283302318,87758600331229.73,448254.11671314365,564623.8956078741,565655,33.38053832385554,693.8538597778886,268.78719098694427,7.273588294990695,99.21987666691204,9.708265873796728,6.334502924141628,101.79063044929669,0.1068783510945824,2.934189406568044,85.99364045165049,13.60861417160928
Canada,2014,Biomass,6453.090664540116,16913.69224167054,7292534732.747602,193006091,178694320696745.1,699292.6607450717,870283.0989056833,939417,6.717122575820426,2495.2664230938462,181.1636232553152,0.9609727401661255,71.75988868584791,36.66906242574368,5.333000489226947,972.2851274299736,0.1538581222647197,17.00300275541602,77.89292450339397,41.30985224639259
Russia,2018,Geothermal,49227.71418282012,22628.28495364073,6759448262.636899,342819247,163245352944384.97,425957.0923863403,546289.010747764,229468,3.0642029581509505,2502.943478272888,211.2183186008312,3.5259931294365465,44.74097793548509,21.252368329932715,73.35963027503087,23.836498955793907,0.4217106477517766,68.26335571296671,48.90131312350179,67.1183225861739
Russia,2021,Biomass,65570.88820967545,18841.21387585889,9373341207.448565,397955173,76403630455943.38,933084.3843939372,708720.8537792844,663103,8.106566908701144,1066.3776658911447,118.8521599077475,12.206112657306022,50.45982887797269,28.33388019208093,41.99809047946776,953.7944591644372,0.0629105714510955,94.55723135246735,76.77866443941757,56.84856368726491
China,2001,Wind,20257.898443840822,25029.888748843136,3698334279.9087234,757105006,98994402554857.6,117603.42501574632,407025.30902088014,635109,32.795692097456595,1551.6588565720356,246.69470772898688,4.714363760603982,81.66154075989192,60.236399856229816,65.64976494712623,961.988324239973,0.2118747112981988,75.43917891559279,17.062141054151102,0.1935096240424649
Canada,2002,Geothermal,96663.09314579055,28077.80322063627,494425759.4399454,21900328,117910369904824.56,143007.3594187505,518965.6067586972,826255,32.39496195727684,1718.0960960531313,241.3471013912672,1.3273023076584034,47.42570244213644,97.89181303218642,30.829502667120035,259.4181535357559,0.1613963466789451,75.59352365308514,24.474021928907387,77.50218079446879
France,2023,Geothermal,72358.09526706903,18049.024092695603,7751321375.697465,350404495,622903837222.1729,616900.1787391184,462873.8012869904,602539,-7.707311386906842,626.9017135252857,112.9112851322284,14.391047951613908,89.29818740021794,36.51056309719629,82.57606794990457,178.4929414077969,0.116402953164444,18.318834158753504,3.3043882199879526,73.65574957509952
India,2012,Wind,25423.05408758865,46536.88902470066,2005033694.1615207,1014131977,191260914901728.6,389885.06289424497,355591.8403818544,42127,1.6965423368507064,1158.5650883418589,227.0853532421972,5.773593746600531,14.121825723488444,41.67068697638135,48.88410160262625,638.0744274811942,0.1750205336682092,13.0842580822619,54.27894440841221,78.44278329431121
Canada,2001,Geothermal,51201.05680822783,882.966312711506,7204146023.372378,1300976836,39864282348039.46,99466.53122894817,624846.6036636577,625790,18.37320039492188,2089.744979959162,129.50756448836776,12.608577961561188,67.62951638834537,3.7378309601770474,61.37162212895581,527.2894860814267,0.3136881317464104,68.7564588044501,7.09811359974487,73.85808162773382
India,2001,Biomass,19781.7986752077,43246.77955397201,3276653340.694644,21493495,14756305676071.973,287668.828994093,104238.26250067844,138014,32.59232703510603,2988.393526859097,270.7940660683263,0.474456331121984,32.81255065999149,40.41391499123402,60.07208408890206,333.32772055787984,0.1772804075756111,5.7806699096563,58.87605703102866,49.60216968464349
Brazil,2006,Geothermal,93695.63905641565,48813.419569253,4512530779.344138,1047607305,131053556563709.36,482295.7748819806,565741.5438041101,407162,33.108791404438854,1072.7695676982462,251.1214328254225,2.1009918907099423,43.64808420773492,16.772852292936292,9.016718791186374,606.4222959558932,0.3920718067621093,27.69709281133485,82.56971421969438,5.1996436949728775
Russia,2018,Geothermal,44800.79342826655,6223.278307176965,8207235171.142827,1268070421,45867217056737.39,918905.6573218702,808379.9509605572,874544,24.074406563530403,1239.1273875121688,199.0869841684456,0.8426839243864098,53.151405420673306,3.2537548695084184,59.21880217484022,340.6018615516365,0.2305761841034047,96.34389598177997,38.73581322760611,59.38789510652175
Brazil,2023,Hydro,90384.32863471047,31847.37114746342,1682133513.1606936,1030303945,135892504888218.8,759581.9692712167,346001.9613874175,349738,-1.6092113687691505,658.0390855054355,119.9459366496997,13.577113924517096,0.6738195293022442,67.14340216939677,77.84970351130747,521.1456649919795,0.3369440602788255,41.20789027835986,54.416146377652254,51.62191604725053
Canada,2018,Hydro,98141.44098216596,34543.011825498084,2525496221.759917,303202701,16295559919411.12,155673.3967760262,720769.6152988323,391958,34.2109425409235,2838.3152102218464,112.93894254339156,10.806651200509831,30.801441636226716,97.76621871555868,82.52802278446293,1.0473656635288904,0.1570459485610618,61.19825745491569,65.57073481049486,72.1289490770007
